Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
omega_108715	-124.183670	-124.720261	7.232455	-6.695869	0.000000	0.000000	c1cc(ccc1N2CCN(CC2)C(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[N+](=O)[O-]
omega_24401	-116.317108	-118.591644	5.899370	-3.624835	0.000000	0.000000	c1ccc(cc1)CCNC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
omega_152	-116.209938	-119.057457	10.534826	-7.363611	-0.323681	0.000000	c1ccc(cc1)c2[nH]c(=O)cc(n2)C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
omega_115161	-115.754082	-119.780411	10.088780	-6.062452	0.000000	0.000000	COc1ccc(cc1)c2cc(n3c(n2)c(cn3)C(=O)N4CCN(CC4)C5C6CC7CC(C6)CC5C7)C(F)F
omega_93883	-115.138977	-119.627151	8.446710	-3.958533	0.000000	0.000000	COc1ccccc1N2CCN(CC2)C(=O)c3cc(nc4c3cccc4)c5ccc(cc5)Br
omega_48738	-114.819199	-113.066360	6.244279	-7.997119	0.000000	0.000000	CCOc1ccc2c(c1)-c3c(ssc3=S)C(N2C(=O)CCC4CCCCC4)(C)C
omega_24552	-114.586349	-119.882523	5.452841	-0.156667	0.000000	0.000000	c1ccc(cc1)C(=NC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)N2CCCCC2
omega_115350	-114.241119	-113.679779	8.070772	-8.632113	0.000000	0.000000	Cc1ccc(cc1)c2cc(n3c(n2)c(cn3)C(=O)N4CCN(CC4)C5C6CC7CC(C6)CC5C7)C(F)F
omega_20941	-113.978127	-107.034546	13.240479	-20.184055	0.000000	0.000000	CCn1c2ccccc2c3c1nc(nn3)SCC(=O)N4c5ccccc5Sc6c4cccc6
omega_109423	-113.878769	-115.889832	6.590827	-4.579768	0.000000	0.000000	COC(=O)c1c2c(sc1NC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCCCC2
omega_14900	-113.566940	-114.388565	3.538066	-2.716440	0.000000	0.000000	Cc1ccc(o1)c2csc3c2c(=O)n(c(n3)SCC(=O)c4ccc5ccccc5c4)c6ccccc6
omega_174638	-113.273720	-113.371239	5.072083	-4.974564	0.000000	0.000000	c1ccc2cc(ccc2c1)NC(=O)Cc3cccc4c3cccc4
omega_6223	-113.215759	-115.986191	6.624014	-3.853583	0.000000	0.000000	c1ccc(cc1)c2cc(nc3c2c(c(s3)C(=O)c4ccc(cc4)C5CCCCC5)N)c6ccccc6
omega_58044	-113.179550	-114.597733	23.219374	-18.406733	-3.394463	0.000000	Cc1cccc2c1[nH]c3c2nnc(n3)NN=Cc4c5ccccc5cc6c4cccc6
omega_161721	-113.112915	-117.642548	11.069317	-6.539680	0.000000	0.000000	CCN1C(=O)C(=Cc2cc(ccc2OCC#N)Br)SC1=Nc3ccc(cc3)OCC
omega_15505	-113.107605	-113.303230	2.493563	-2.297934	0.000000	0.000000	Cc1cc(c(n1Cc2cccs2)C)C(=O)CSc3nc4c(c(cs4)c5ccccc5)c(=O)n3c6ccccc6
